content_item_id;external_id;titulo;formato;n_palabras;tipo;pregunta;op0;op1;op2;op3;correcta;anclada;motivo_anclaje;trivial;sobrevive;descarte
84;YU3PbQj4JJc;REBORD Y LA VERDAD SOBRE BLENDER - MOVISTAR ARENA HAGOVERO EL 19 DE OCTUBRE;informativo;19287;dato;¿Cuántas personas están viendo la transmisión clandestina?;Más de 40,000;Más de 30,000;Más de 60,000;Más de 50,000;0;True;literal;True;False;contestable_sin_ver_el_video
84;YU3PbQj4JJc;REBORD Y LA VERDAD SOBRE BLENDER - MOVISTAR ARENA HAGOVERO EL 19 DE OCTUBRE;informativo;19287;dato;¿En qué plataforma se transmitirán los mensajes oficiales los lunes?;Kick;YouTube;Twitch;Instagram;1;True;literal;True;False;contestable_sin_ver_el_video
84;YU3PbQj4JJc;REBORD Y LA VERDAD SOBRE BLENDER - MOVISTAR ARENA HAGOVERO EL 19 DE OCTUBRE;informativo;19287;dato;¿Qué es lo que se ha habilitado para que las personas puedan contribuir al sistema Agob?;Un fondo de desempleo;Una cuenta de PayPal;Un sistema de donaciones;Una cuenta de Kickstarter;1;True;literal;False;True;
84;YU3PbQj4JJc;REBORD Y LA VERDAD SOBRE BLENDER - MOVISTAR ARENA HAGOVERO EL 19 DE OCTUBRE;informativo;19287;dato;¿Dónde se realizará la despedida a la altura de la historia del movimiento agobero?;Teatro Colón;Estadio de River;Plaza de Mayo;Movistar Arena;3;True;literal;True;False;contestable_sin_ver_el_video
37;kgaS_kikD2E;TRUMP SE RETIRA DE IRÁN pero Israel quiere seguir luchando - @SoloFonseca;informativo;6169;dato;¿Cuánto dinero podría recibir Irán según el vicepresidente de Estados Unidos, J. Bans?;300,000 millones de dólares;400,000 millones de dólares;500,000 millones de dólares;200,000 millones de dólares;0;True;literal;True;False;contestable_sin_ver_el_video
37;kgaS_kikD2E;TRUMP SE RETIRA DE IRÁN pero Israel quiere seguir luchando - @SoloFonseca;informativo;6169;dato;¿Cuál es el cuarto punto que Irán quiere cumplir según el acuerdo?;Terminar con su plan nuclear;Terminar con los misiles balísticos;Reabrir el estrecho de Ormud;Terminar con el régimen de los ayatolas;2;True;parcial_28_de_34;False;True;
37;kgaS_kikD2E;TRUMP SE RETIRA DE IRÁN pero Israel quiere seguir luchando - @SoloFonseca;informativo;6169;dato;¿Cuántos días llevan las petromonarquías con su economía bloqueada?;90 días;107 días;120 días;100 días;1;False;cita_demasiado_corta_5_palabras;;False;cita_no_verificable
37;kgaS_kikD2E;TRUMP SE RETIRA DE IRÁN pero Israel quiere seguir luchando - @SoloFonseca;informativo;6169;dato;¿Cuál es el precio actual del barril de petróleo?;$80;$67;$70;$60;0;True;literal;False;True;
81;2RY_r8Cn9jE;TRUMP DESTRUYE LA IMAGEN DE EEUU y el turismo le está pasando factura - @SoloFonseca;informativo;5089;dato;¿Cuál es la pérdida proyectada para el sector turístico estadounidense?;12,500 millones de dólares;10,000 millones de dólares;20,000 millones de dólares;15,000 millones de dólares;0;True;literal;False;True;
81;2RY_r8Cn9jE;TRUMP DESTRUYE LA IMAGEN DE EEUU y el turismo le está pasando factura - @SoloFonseca;informativo;5089;dato;¿Cuánto porcentaje del PIB de Estados Unidos representa el turismo?;11%;9%;7%;5%;1;True;literal;False;True;
81;2RY_r8Cn9jE;TRUMP DESTRUYE LA IMAGEN DE EEUU y el turismo le está pasando factura - @SoloFonseca;informativo;5089;dato;¿Cuántos millones de empleos sostiene el turismo en Estados Unidos?;20 millones;20,4 millones;15 millones;10 millones;1;True;literal;True;False;contestable_sin_ver_el_video
81;2RY_r8Cn9jE;TRUMP DESTRUYE LA IMAGEN DE EEUU y el turismo le está pasando factura - @SoloFonseca;informativo;5089;dato;¿Cuánto porcentaje de la ayuda humanitaria en la República Democrática del Congo financiaba USAID?;60%;70%;80%;50%;1;True;literal;False;True;
